ID,WindCode,StartDate,EndDate
260,600861.SH,19940520,20751231
261,600862.SH,19940520,20751231
262,600863.SH,19940520,20751231
263,000556.SZ,19940525,20020529
264,000566.SZ,19940525,20751231
265,000567.SZ,19940525,20751231
266,000571.SZ,19940525,20751231
267,000036.SZ,19940617,20751231
268,000557.SZ,19940617,20751231
269,000037.SZ,19940701,20751231
270,000570.SZ,19940701,20751231
271,000038.SZ,19940808,20751231
272,000040.SZ,19940808,20751231
273,000572.SZ,19940808,20751231
274,600864.SH,19940809,20751231
275,600865.SH,19940809,20751231
276,000045.SZ,19940815,20751231
277,000573.SZ,19940815,20751231
278,600866.SH,19940818,20751231
279,600867.SH,19940824,20751231
280,000576.SZ,19940907,20751231
281,000046.SZ,19940912,20751231
282,600868.SH,19940912,20751231
283,000042.SZ,19940921,20751231
284,001914.SZ,19940928,20751231
285,000047.SZ,19941021,20030530
286,000048.SZ,19941101,20751231
287,600872.SH,19950124,20751231
288,600869.SH,19950206,20751231
289,600873.SH,19950217,20751231
290,600870.SH,19950228,20751231
291,000578.SZ,19950303,20110322
292,000050.SZ,19950315,20751231
293,000049.SZ,19950320,20751231
294,600871.SH,19950411,20751231
295,600874.SH,19950630,20751231
296,600875.SH,19951010,20751231
297,600877.SH,19951013,20751231
298,600878.SH,19951013,20040915
299,000010.SZ,19951027,20751231
300,600876.SH,19951031,20751231
301,000583.SZ,19951101,20070521
302,000582.SZ,19951102,20751231
303,600879.SH,19951115,20751231
304,600880.SH,19951115,20751231
305,600881.SH,19951115,20751231
306,000584.SZ,19951128,20751231
307,600882.SH,19951206,20751231
308,600883.SH,19951208,20751231
309,000585.SZ,19951213,20751231
310,000586.SZ,19951220,20751231
311,600886.SH,19960118,20751231
312,000590.SZ,19960119,20751231
313,000588.SZ,19960123,20010615
314,600884.SH,19960130,20751231
315,600885.SH,19960205,20751231
316,000591.SZ,19960208,20751231
317,600888.SH,19960215,20751231
318,000589.SZ,19960308,20751231
319,600889.SH,19960308,20751231
320,000593.SZ,19960312,20751231
321,600887.SH,19960312,20751231
322,600892.SH,19960315,20751231
323,600890.SH,19960318,20751231
324,000594.SZ,19960320,20150713
325,600891.SH,19960325,20210512
326,000592.SZ,19960327,20751231
327,600894.SH,19960328,20751231
328,600893.SH,19960408,20751231
329,000055.SZ,19960415,20751231
330,600898.SH,19960418,20751231
331,000595.SZ,19960419,20751231
332,600895.SH,19960422,20751231
333,000587.SZ,19960425,20751231
334,600899.SH,19960426,20050921
335,000599.SZ,19960430,20751231
336,600700.SH,19960430,20050920
337,600896.SH,19960503,20751231
338,600705.SH,19960516,20751231
339,600706.SH,19960516,20751231
340,600707.SH,19960520,20751231
341,000597.SZ,19960523,20751231
342,600702.SH,19960524,20751231
343,600701.SH,19960528,20210430
344,600703.SH,19960528,20751231
345,000598.SZ,19960529,20751231
346,600711.SH,19960531,20751231
347,600897.SH,19960531,20751231
348,000600.SZ,19960606,20751231
349,600704.SH,19960606,20751231
350,600708.SH,19960606,20751231
351,600714.SH,19960606,20751231
352,000401.SZ,19960614,20751231
353,600717.SH,19960614,20751231
354,600709.SH,19960618,20030523
355,600718.SH,19960618,20751231
356,000404.SZ,19960619,20751231
357,000405.SZ,19960620,20040319
358,000402.SZ,19960626,20751231
359,600712.SH,19960626,20751231
360,600721.SH,19960626,20751231
361,600722.SH,19960626,20751231
362,000409.SZ,19960627,20751231
363,000403.SZ,19960628,20751231
364,000406.SZ,19960628,20060421
365,000408.SZ,19960628,20751231
366,600710.SH,19960701,20751231
367,600713.SH,19960701,20751231
368,600715.SH,19960701,20751231
369,600726.SH,19960701,20751231
370,600716.SH,19960702,20751231
371,600725.SH,19960702,20751231
372,600727.SH,19960702,20751231
373,600729.SH,19960702,20751231
374,000407.SZ,19960703,20751231
375,000056.SZ,19960708,20751231
376,000412.SZ,19960715,20030919
377,000411.SZ,19960716,20751231
378,000415.SZ,19960716,20751231
379,600719.SH,19960716,20751231
380,600720.SH,19960716,20751231
381,600723.SH,19960716,20211022
382,600724.SH,19960716,20751231
383,600728.SH,19960716,20751231
384,000410.SZ,19960718,20751231
385,000416.SZ,19960719,20751231
386,600730.SH,19960726,20751231
387,600735.SH,19960726,20751231
388,000423.SZ,19960729,20751231
389,600737.SH,19960731,20751231
390,000420.SZ,19960802,20751231
391,600731.SH,19960802,20751231
392,600738.SH,19960802,20751231
393,000421.SZ,19960806,20751231
394,000428.SZ,19960808,20751231
395,600734.SH,19960808,20751231
396,600740.SH,19960808,20751231
397,000417.SZ,19960812,20751231
398,000422.SZ,19960815,20751231
399,600736.SH,19960815,20751231
400,000419.SZ,19960816,20751231
401,600732.SH,19960816,20751231
402,600733.SH,19960816,20751231
403,000602.SZ,19960819,20130814
404,600739.SH,19960819,20751231
405,000603.SZ,19960823,20751231
406,600741.SH,19960826,20751231
407,600742.SH,19960826,20751231
408,000425.SZ,19960828,20751231
409,000426.SZ,19960828,20751231
410,600745.SH,19960828,20751231
411,000430.SZ,19960829,20751231
412,000601.SZ,19960830,20751231
413,000607.SZ,19960830,20751231
414,600744.SH,19960905,20751231
415,600743.SH,19960909,20751231
416,600751.SH,19960909,20751231
417,000605.SZ,19960913,20751231
418,600747.SH,19960916,20191212
419,600746.SH,19960918,20751231
420,000608.SZ,19960919,20751231
421,600750.SH,19960923,20751231
422,600756.SH,19960923,20751231
423,000413.SZ,19960925,20751231
424,600748.SH,19960925,20751231
425,600752.SH,19960925,20050922
426,000610.SZ,19960926,20751231
427,000612.SZ,19960926,20751231
428,000596.SZ,19960927,20751231
429,600753.SH,19960927,20751231
430,600755.SH,19961003,20751231
431,600757.SH,19961003,20751231
432,000606.SZ,19961004,20751231
433,000611.SZ,19961008,20751231
434,600759.SH,19961008,20751231
435,600761.SH,19961009,20751231
436,000609.SZ,19961010,20751231
437,600754.SH,19961011,20751231
438,600760.SH,19961011,20751231
439,000618.SZ,19961015,20060220
440,600749.SH,19961015,20751231
441,000615.SZ,19961016,20751231
442,000617.SZ,19961022,20751231
443,000619.SZ,19961023,20751231
444,600762.SH,19961025,20071120
445,000623.SZ,19961028,20751231
446,600766.SH,19961028,20751231
447,000620.SZ,19961029,20751231
448,600758.SH,19961029,20751231
449,600763.SH,19961030,20751231
450,600769.SH,19961101,20751231
451,600764.SH,19961104,20751231
452,600772.SH,19961104,20061130
453,000621.SZ,19961105,20040927
454,600771.SH,19961105,20751231
455,600765.SH,19961106,20751231
456,000622.SZ,19961107,20751231
457,000616.SZ,19961108,20751231
458,600773.SH,19961108,20751231
459,600774.SH,19961108,20751231
460,600768.SH,19961111,20751231
461,000627.SZ,19961112,20751231
462,000633.SZ,19961112,20751231
463,000637.SZ,19961114,20751231
464,000629.SZ,19961115,20751231
465,600767.SH,19961115,20751231
466,000628.SZ,19961118,20751231
467,000651.SZ,19961118,20751231
468,600775.SH,19961118,20751231
469,000630.SZ,19961120,20751231
470,000635.SZ,19961120,20751231
471,600770.SH,19961120,20751231
472,000632.SZ,19961121,20751231
473,600777.SH,19961121,20751231
474,000631.SZ,19961122,20751231
475,000638.SZ,19961126,20751231
476,000639.SZ,19961126,20751231
477,000653.SZ,19961126,20020913
478,600776.SH,19961126,20751231
479,000626.SZ,19961128,20751231
480,000652.SZ,19961128,20751231
481,000655.SZ,19961128,20751231
482,000656.SZ,19961128,20751231
483,000636.SZ,19961129,20751231
484,000659.SZ,19961203,20751231
485,600778.SH,19961203,20751231
486,000657.SZ,19961205,20751231
487,000667.SZ,19961205,20751231
488,600780.SH,19961205,20751231
489,000663.SZ,19961206,20751231
490,600779.SH,19961206,20751231
491,000660.SZ,19961209,20040913
492,000650.SZ,19961210,20751231
493,000665.SZ,19961210,20751231
494,000666.SZ,19961210,20751231
495,000668.SZ,19961210,20751231
496,000669.SZ,19961210,20751231
497,000662.SZ,19961216,20210412
498,000670.SZ,19961217,20751231
499,000658.SZ,19961218,20020920
500,000661.SZ,19961218,20751231
501,000671.SZ,19961218,20751231
502,000672.SZ,19961218,20751231
503,600781.SH,19961218,20751231
504,000676.SZ,19961224,20751231
505,600782.SH,19961225,20751231
506,600783.SH,19961225,20751231
507,600784.SH,19961225,20751231
508,000058.SZ,19961226,20751231
509,000675.SZ,19961226,20020820
510,000677.SZ,19961226,20751231
511,600786.SH,19961227,20080318
512,600788.SH,19961230,20050325
513,000689.SZ,19961231,20020905
514,000678.SZ,19970106,20751231
515,600785.SH,19970108,20751231
516,000061.SZ,19970110,20751231
517,000688.SZ,19970120,20751231
518,000681.SZ,19970121,20751231
519,000682.SZ,19970121,20751231
520,600787.SH,19970121,20751231
521,000680.SZ,19970122,20751231
522,000060.SZ,19970123,20751231
523,000685.SZ,19970123,20751231
524,600792.SH,19970123,20751231
525,000673.SZ,19970124,20751231
526,000679.SZ,19970124,20751231
527,000613.SZ,19970128,20751231
528,000690.SZ,19970128,20751231
529,000059.SZ,19970130,20751231
530,000062.SZ,19970130,20751231
531,600791.SH,19970130,20751231
532,000683.SZ,19970131,20751231
533,000695.SZ,19970218,20751231
534,000698.SZ,19970220,20751231
535,600793.SH,19970220,20751231
536,000687.SZ,19970221,20751231
537,000693.SZ,19970226,20190709
538,000701.SZ,19970226,20751231
539,600789.SH,19970226,20751231
540,000686.SZ,19970227,20751231
541,000692.SZ,19970227,20751231
542,000691.SZ,19970228,20751231
543,000700.SZ,19970228,20751231
544,600790.SH,19970228,20751231
545,001696.SZ,19970306,20751231
546,600794.SH,19970306,20751231
547,000699.SZ,19970310,20070404
548,000702.SZ,19970318,20751231
549,600795.SH,19970318,20751231
550,000697.SZ,19970325,20751231
551,000708.SZ,19970326,20751231
552,000418.SZ,19970328,20190621
553,000703.SZ,19970328,20751231
554,000719.SZ,19970331,20751231
555,000718.SZ,19970408,20751231
556,600796.SH,19970408,20751231
557,000705.SZ,19970410,20751231
558,600051.SH,19970410,20751231
559,000711.SZ,19970411,20751231
560,000707.SZ,19970415,20751231
561,000712.SZ,19970415,20751231
562,600052.SH,19970415,20751231
563,000709.SZ,19970416,20751231
564,000758.SZ,19970416,20751231
565,600799.SH,19970416,20060104
566,000400.SZ,19970418,20751231
567,000716.SZ,19970418,20751231
568,600053.SH,19970418,20751231
569,600797.SH,19970418,20751231
570,000710.SZ,19970422,20751231
571,000713.SZ,19970422,20751231
572,600060.SH,19970422,20751231
573,600798.SH,19970423,20751231
574,000736.SZ,19970425,20751231
575,000737.SZ,19970428,20751231
576,000721.SZ,19970430,20751231
577,000766.SZ,19970430,20751231
578,600069.SH,19970430,20200827
579,600054.SH,19970506,20751231
580,600064.SH,19970506,20751231
581,000715.SZ,19970508,20751231
582,000717.SZ,19970508,20751231
583,600066.SH,19970508,20751231
584,600067.SH,19970508,20751231
585,000720.SZ,19970509,20751231
586,000739.SZ,19970509,20751231
587,000723.SZ,19970515,20751231
588,600056.SH,19970515,20751231
589,600059.SH,19970516,20751231
590,000759.SZ,19970519,20751231
591,600055.SH,19970519,20751231
592,600061.SH,19970519,20751231
593,000727.SZ,19970520,20751231
594,600077.SH,19970520,20751231
595,000722.SZ,19970522,20751231
596,000730.SZ,19970522,20040924
597,600062.SH,19970522,20751231
598,600065.SH,19970523,20071213
599,600068.SH,19970526,20210913
600,600076.SH,19970526,20751231
601,000779.SZ,19970528,20751231
602,600058.SH,19970528,20751231
603,600063.SH,19970528,20751231
604,600071.SH,19970528,20751231
605,000769.SZ,19970530,20050921
606,600072.SH,19970603,20751231
607,600057.SH,19970604,20751231
608,600070.SH,19970604,20751231
609,000778.SZ,19970606,20751231
610,000780.SZ,19970606,20220124
611,000786.SZ,19970606,20751231
612,600079.SH,19970606,20751231
613,600083.SH,19970606,20751231
614,600086.SH,19970606,20210317
615,000498.SZ,19970609,20751231
616,000767.SZ,19970609,20751231
617,000625.SZ,19970610,20751231
618,000068.SZ,19970611,20751231
619,000735.SZ,19970611,20751231
620,000776.SZ,19970611,20751231
621,600080.SH,19970612,20751231
622,600087.SH,19970612,20140605
623,000728.SZ,19970616,20751231
624,000788.SZ,19970616,20751231
625,600088.SH,19970616,20751231
626,600090.SH,19970616,20751231
627,000731.SZ,19970617,20751231
628,000828.SZ,19970617,20751231
629,600075.SH,19970617,20751231
630,000800.SZ,19970618,20751231
631,600089.SH,19970618,20751231
632,600106.SH,19970618,20751231
633,000782.SZ,19970619,20751231
634,600097.SH,19970619,20751231
635,600082.SH,19970620,20751231
636,600074.SH,19970623,20200602
637,000752.SZ,19970625,20751231
638,000819.SZ,19970625,20751231
639,600085.SH,19970625,20751231
640,000066.SZ,19970626,20751231
641,000738.SZ,19970626,20751231
642,000751.SZ,19970626,20751231
643,000753.SZ,19970626,20751231
644,000768.SZ,19970626,20751231
645,000787.SZ,19970626,20130208
646,000838.SZ,19970626,20751231
647,600092.SH,19970626,20061130
648,600093.SH,19970626,20751231
649,000755.SZ,19970627,20751231
650,000757.SZ,19970627,20751231
651,000760.SZ,19970627,20210723
652,600078.SH,19970627,20751231
653,600100.SH,19970627,20751231
654,600101.SH,19970627,20751231
655,000733.SZ,19970703,20751231
656,000796.SZ,19970703,20751231
657,600081.SH,19970703,20751231
658,600094.SH,19970703,20751231
659,600103.SH,19970703,20751231
660,000732.SZ,19970704,20751231
661,000748.SZ,19970704,20170118
662,600073.SH,19970704,20751231
663,600091.SH,19970704,20751231
664,600099.SH,19970704,20751231
665,000762.SZ,19970708,20751231
666,600095.SH,19970708,20751231
667,000750.SZ,19970709,20751231
668,600096.SH,19970709,20751231
669,000777.SZ,19970710,20751231
670,000785.SZ,19970711,20751231
671,600084.SH,19970711,20751231
672,000797.SZ,19970715,20751231
673,000729.SZ,19970716,20751231
674,000799.SZ,19970718,20751231
675,600098.SH,19970718,20751231
676,000868.SZ,19970725,20751231
677,000088.SZ,19970728,20751231
678,000793.SZ,19970729,20751231
679,000783.SZ,19970731,20751231
680,600116.SH,19970804,20751231
681,000756.SZ,19970806,20751231
682,600109.SH,19970807,20751231
683,000795.SZ,19970808,20751231
684,000816.SZ,19970818,20751231
685,600108.SH,19970818,20751231
686,600102.SH,19970828,20120228
687,600128.SH,19970901,20751231
688,000792.SZ,19970904,20751231
689,600118.SH,19970908,20751231
690,000069.SZ,19970910,20751231
691,000763.SZ,19970915,20060104
692,000789.SZ,19970923,20751231
693,600111.SH,19970924,20751231
694,000863.SZ,19970925,20751231
695,000836.SZ,19970929,20751231
696,600105.SH,19970929,20751231
697,600110.SH,19971007,20751231
698,000823.SZ,19971008,20751231
699,000791.SZ,19971014,20751231
700,600117.SH,19971015,20751231
701,000818.SZ,19971017,20751231
702,000888.SZ,19971021,20751231
703,600113.SH,19971021,20751231
704,600132.SH,19971030,20751231
705,000839.SZ,19971031,20751231
706,000765.SZ,19971103,20050704
707,600115.SH,19971105,20751231
708,600107.SH,19971106,20751231
709,000848.SZ,19971113,20751231
710,000063.SZ,19971118,20751231
711,600129.SH,19971118,20751231
712,600104.SH,19971125,20751231
713,000899.SZ,19971126,20751231
714,600112.SH,19971127,20751231
715,600120.SH,19971201,20751231
716,000829.SZ,19971202,20751231
717,600138.SH,19971203,20751231
718,000889.SZ,19971218,20751231
719,000898.SZ,19971225,20751231
720,600121.SH,19980107,20751231
721,000802.SZ,19980108,20751231
722,000761.SZ,19980115,20751231
723,600119.SH,19980115,20751231
724,001896.SZ,19980122,20751231
725,600001.SH,19980122,20091229
726,600135.SH,19980122,20751231
727,000886.SZ,19980123,20751231
728,000798.SZ,19980212,20751231
729,600133.SH,19980212,20751231
730,600009.SH,19980218,20751231
731,000429.SZ,19980220,20751231
732,000826.SZ,19980225,20751231
733,600139.SH,19980225,20751231
734,000803.SZ,19980303,20751231
735,600136.SH,19980303,20751231
736,000876.SZ,19980311,20751231
737,600126.SH,19980311,20751231
738,000790.SZ,19980327,20751231
739,600158.SH,19980327,20751231
740,000880.SZ,19980402,20751231
741,600131.SH,19980402,20751231
742,000807.SZ,19980408,20751231
743,600002.SH,19980408,20060424
744,000806.SZ,19980416,20751231
745,600137.SH,19980416,20751231
746,000089.SZ,19980420,20751231
747,600122.SH,19980420,20751231
748,000858.SZ,19980427,20751231
749,600168.SH,19980427,20751231
750,000801.SZ,19980506,20751231
751,600127.SH,19980506,20751231
752,600125.SH,19980511,20751231
753,000866.SZ,19980512,20060421
754,600157.SH,19980513,20751231
755,000813.SZ,19980519,20751231
756,000883.SZ,19980519,20751231
757,600148.SH,19980520,20751231
758,600150.SH,19980520,20751231
759,600159.SH,19980526,20751231
760,600156.SH,19980527,20751231
761,000811.SZ,19980528,20751231
762,000817.SZ,19980528,20060104
763,000805.SZ,19980529,20130327
764,600165.SH,19980529,20751231
